alpha,beta,precision_at_5,precision_at_10,recall_at_5,f1,ndcg_at_5,avg_query_time
0.0,1.0,0.4911111111111113,0.2716666666666667,0.33809523809523784,0.40014245014245053,0.6172272656902879,0.012463212775764987
0.1,0.9,0.5244444444444444,0.3088888888888889,0.36091269841269824,0.42720797720797743,0.6443197967145569,0.01399246555649572
0.2,0.8,0.5511111111111109,0.34777777777777746,0.37966269841269845,0.4492165242165243,0.6648039762530259,0.012089551664474937
0.3,0.7,0.5866666666666662,0.3988888888888886,0.4045634920634921,0.47849002849002836,0.6914687530298447,0.012328367776677219
0.4,0.6,0.6077777777777769,0.43388888888888894,0.4194444444444445,0.4959401709401706,0.7075259365716281,0.011814523887975763
0.5,0.5,0.6122222222222212,0.4400000000000001,0.42251984126984143,0.49957264957264924,0.7110186008020088,0.01202429221593775
0.6,0.4,0.6122222222222212,0.4400000000000001,0.42251984126984143,0.49957264957264924,0.7116426234519508,0.011841064449011658
0.7,0.30000000000000004,0.6122222222222212,0.4400000000000001,0.42251984126984143,0.49957264957264924,0.7116426234519508,0.012624120556413092
0.8,0.19999999999999996,0.6122222222222212,0.4400000000000001,0.42251984126984143,0.49957264957264924,0.7116426234519508,0.012059386105587084
0.9,0.09999999999999998,0.6122222222222212,0.4400000000000001,0.42251984126984143,0.49957264957264924,0.7116426234519508,0.011802354447879932
1.0,0.0,0.9866666666666666,0.7166666666666676,0.6853174603174583,0.8082621082621078,0.9858158529443993,0.011813846110857815
